label,pattern,replace,language
fruit_type_term,Zypsele,achene,german
fruit_type_term,Zypselen,achene,german
fruit_type_term,geflügelte Achäne,achene,german
fruit_type_term,geflügelte Achänen,achene,german
fruit_type_term,Anthokarp,anthocarp,german
fruit_type_term,Anthokarpe,anthocarp,german
fruit_type_term,Amphisarc(en),berry,german
fruit_type_term,Amphisarca,berry,german
fruit_type_term,Arillocarpien,berry,german
fruit_type_term,Arillocarpium,berry,german
fruit_type_term,Balausta,berry,german
fruit_type_term,Balausten,berry,german
fruit_type_term,Beere,berry,german
fruit_type_term,Beeren,berry,german
fruit_type_term,Cactidien,berry,german
fruit_type_term,Cactidium,berry,german
fruit_type_term,Epispermatien,berry,german
fruit_type_term,Epispermatium,berry,german
fruit_type_term,Hesperidie,berry,german
fruit_type_term,Hesperidien,berry,german
fruit_type_term,Pepo,berry,german
fruit_type_term,Pepos,berry,german
fruit_type_term,Syncarp,berry,german
fruit_type_term,Syncarpe,berry,german
fruit_type_term,fleischige Beere,berry,german
fruit_type_term,fleischige Beeren,berry,german
fruit_type_term,pulpose Beere,berry,german
fruit_type_term,pulpose Beeren,berry,german
fruit_type_term,Kapsel,capsule,german
fruit_type_term,Kapseln,capsule,german
fruit_type_term,Pyxiden,capsule,german
fruit_type_term,Pyxis,capsule,german
fruit_type_term,Schote,capsule,german
fruit_type_term,Schoten,capsule,german
fruit_type_term,Schötchen,capsule,german
fruit_type_term,lokulizid,capsule,german
fruit_type_term,lokulizide,capsule,german
fruit_type_term,lokulizide Kapsel,capsule,german
fruit_type_term,lokulizide Kapseln,capsule,german
fruit_type_term,porizid,capsule,german
fruit_type_term,porizide,capsule,german
fruit_type_term,porizide Kapsel,capsule,german
fruit_type_term,porizide Kapseln,capsule,german
fruit_type_term,septizid,capsule,german
fruit_type_term,septizide,capsule,german
fruit_type_term,septizide Kapsel,capsule,german
fruit_type_term,septizide Kapseln,capsule,german
fruit_type_term,zirkumzissil,capsule,german
fruit_type_term,zirkumzissile,capsule,german
fruit_type_term,zirkumzissile Kapsel,capsule,german
fruit_type_term,zirkumzissile Kapseln,capsule,german
fruit_type_term,Karyopse,caryopsis,german
fruit_type_term,Karyopsen,caryopsis,german
fruit_type_term,Drupeta,drupe,german
fruit_type_term,Drupetum,drupe,german
fruit_type_term,Pseudosteinfrucht,drupe,german
fruit_type_term,Pseudosteinfrüchte,drupe,german
fruit_type_term,Steinfrucht,drupe,german
fruit_type_term,Steinfrüchtchen,drupe,german
fruit_type_term,Steinfrüchte,drupe,german
fruit_type_term,aggregierte Steinfrucht,drupe,german
fruit_type_term,aggregierte Steinfrüchte,drupe,german
fruit_type_term,zusammengesetzte Steinfrucht,drupe,german
fruit_type_term,zusammengesetzte Steinfrüchte,drupe,german
fruit_type_term,Balgfrucht,follicle,german
fruit_type_term,Balgfrüchte,follicle,german
fruit_type_term,Megastrobili,gymnosperm_cone,german
fruit_type_term,Megastrobilus,gymnosperm_cone,german
fruit_type_term,Mikrostrobili,gymnosperm_cone,german
fruit_type_term,Mikrostrobilus,gymnosperm_cone,german
fruit_type_term,Pollen-Zapfen,gymnosperm_cone,german
fruit_type_term,Samen-Zapfen,gymnosperm_cone,german
fruit_type_term,Strobili,gymnosperm_cone,german
fruit_type_term,Strobilus,gymnosperm_cone,german
fruit_type_term,Zapfen,gymnosperm_cone,german
fruit_type_term,Galbuli,gymnosperm_fleshy_cone,german
fruit_type_term,Galbulus,gymnosperm_fleshy_cone,german
fruit_type_term,beerenartige Zapfen,gymnosperm_fleshy_cone,german
fruit_type_term,beerenartiger Zapfen,gymnosperm_fleshy_cone,german
fruit_type_term,Hülse,legume,german
fruit_type_term,Hülsen,legume,german
fruit_type_term,Loment,legume,german
fruit_type_term,Lomente,legume,german
fruit_type_term,Nuss,nut,german
fruit_type_term,Nüsschen,nut,german
fruit_type_term,Nüsse,nut,german
fruit_type_term,geflügelte Nuss,nut,german
fruit_type_term,geflügelte Nüsse,nut,german
fruit_type_term,Kernfrucht,pome,german
fruit_type_term,Kernfrüchte,pome,german
fruit_type_term,Nuculanien,pome,german
fruit_type_term,Nuculanium,pome,german
fruit_type_term,Samara,samara,german
fruit_type_term,Samaras,samara,german
fruit_type_term,geflügelte Samara,samara,german
fruit_type_term,geflügelte Samaras,samara,german
fruit_type_term,samaroid,samara,german
fruit_type_term,Camara,schizocarp,german
fruit_type_term,Camaras,schizocarp,german
fruit_type_term,Carceruli,schizocarp,german
fruit_type_term,Carcerulus,schizocarp,german
fruit_type_term,Cocci,schizocarp,german
fruit_type_term,Coccus,schizocarp,german
fruit_type_term,Cremocarp,schizocarp,german
fruit_type_term,Cremocarpe,schizocarp,german
